QGPIORecord, QRC v6.1.0, 25-11-2023 @ 20:02:42, Windows 10 Version 2009, 10.0.22621, x86_64
Time, ValueIn0, ValueIn1, ValueIn2, ValueIn3, ValueIn4, ValueIn5, ValueIn6, ValueIn7, ValueIn8, ValueIn9, ValueIn10, ValueIn11
40140, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
40152, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
40160, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
40170, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
40180, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
40190, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
40200, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
40210, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
40220, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
40230, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
40240, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
40250, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
40260, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
40270, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
40281, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
40290, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
40300, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
40310, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
40321, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
40330, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
40340, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
40350, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
40360, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
40370, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
40380, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
40390, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
40400, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
40410, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
40420, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
40430, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
40440, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
40451, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
40460, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
40470, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
40480, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
40491, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
40500, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
40510, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
40520, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
40530, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
40540, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
40550, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
40560, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
40570, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
40580, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
40590, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
40600, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
40610, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
