QGPIORecord, QRC v6.1.0, 28-11-2023 @ 15:36:21, Windows 10 Version 2009, 10.0.22621, x86_64
Time, ValueIn0, ValueIn1, ValueIn2, ValueIn3, ValueIn4, ValueIn5, ValueIn6, ValueIn7, ValueIn8, ValueIn9, ValueIn10, ValueIn11
90690, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
90701, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
90711, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
90720, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
90730, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
90740, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
90750, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
90760, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
90770, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
90780, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
90790, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
90800, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
90810, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
90820, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
90830, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
90841, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
90850, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
90860, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
90870, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
90881, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
90890, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
90900, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
90910, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
90920, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
90930, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
90940, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
90950, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
90960, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
90970, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
90980, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
90990, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
91000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
91011, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
91020, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
91030, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
91040, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
91051, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
91060, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
91070, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
91080, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
91090, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
91100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
91110, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
91120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
91130, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
91140, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
91150, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
91160, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
91170, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
91181, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
91190, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
91200, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
91210, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
91220, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
91230, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
91240, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
91250, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
91260, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
91270, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
91280, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
91290, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
91300, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
91311, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
91320, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
91330, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
91340, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
91351, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
91360, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
91370, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
91380, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
91390, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
91400, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
91410, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
91420, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
91430, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
91440, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
91450, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
91460, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
91470, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
91481, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
91490, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
91500, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
91510, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
91521, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
91530, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
91540, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
91550, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
91560, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
91570, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
91580, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
91590, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
91600, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
91610, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
91620, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
91630, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
91640, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
91651, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
91660, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
91670, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
91680, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
91691, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
91700, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
91710, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
91720, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
91730, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
91740, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
91750, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
91760, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
91770, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
91780, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
91790, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
91800, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
91810, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
91821, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
91830, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
91840, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
91850, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
91860, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
91870, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
91880, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
91890, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
91900, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
91910, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
91920, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
91930, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
91940, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
91950, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
91960, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
91970, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
91980, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
91991, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
92000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
92010, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
92020, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
92030, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
92040, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
92050, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
92060, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
92070, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
92080, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
92090, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
92100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
92110, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
92121, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
92130, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
92140, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
92150, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
92161, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
92170, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
92180, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
92190, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
92200, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
