QGPIORecord, QRC v6.1.0, 28-11-2023 @ 13:38:17, Windows 10 Version 2009, 10.0.22621, x86_64
Time, ValueIn0, ValueIn1, ValueIn2, ValueIn3, ValueIn4, ValueIn5, ValueIn6, ValueIn7, ValueIn8, ValueIn9, ValueIn10, ValueIn11
7440, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
7451, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
7460, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
7470, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
7480, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
7490, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
7500, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
7511, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
7520, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
7530, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
7540, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
7550, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
7560, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
7570, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
7580, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
7590, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
7600, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
7610, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
7620, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
7630, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
7641, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
7650, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
7660, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
7670, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
7681, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
7690, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
7700, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
7710, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
7720, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
7730, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
7740, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
7750, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
7760, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
7770, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
7780, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
7790, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
7800, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
7811, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
