QGPIORecord, QRC v6.1.0, 20-12-2023 @ 16:45:41, Windows 10 Version 2009, 10.0.22621, x86_64
Time, ValueIn0, ValueIn1, ValueIn2, ValueIn3, ValueIn4, ValueIn5, ValueIn6, ValueIn7x, ValueIn8, ValueIn9, ValueIn10, ValueIn11
1976630, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1976640, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1976651, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1976660, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1976670, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1976680, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1976690, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1976700, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1976710, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1976720, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1976730, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1976740, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1976751, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1976760, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1976770, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1976780, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1976791, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1976800, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1976810, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1976820, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1976830, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1976840, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1976850, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1976860, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1976870, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1976880, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1976890, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1976900, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1976910, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1976921, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1976930, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1976940, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1976950, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1976961, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1976970, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1976980, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1976990, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1977000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1977010, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1977020, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1977030, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1977040, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1977050, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1977060, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1977070, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1977080, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1977091, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1977100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1977110, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1977120, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1977131, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1977140, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1977150, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1977160, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1977170, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1977180, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1977190, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1977200, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1977210, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1977221, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1977230, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1977240, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1977250, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1977261, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1977270, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1977280, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1977290, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1977300, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1977310, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1977320, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1977330, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
