QGPIORecord, QRC v6.1.0, 20-12-2023 @ 16:45:22, Windows 10 Version 2009, 10.0.22621, x86_64
Time, ValueIn0, ValueIn1, ValueIn2, ValueIn3, ValueIn4, ValueIn5, ValueIn6, ValueIn7x, ValueIn8, ValueIn9, ValueIn10, ValueIn11
1958430, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1958440, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1958452, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1958460, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1958470, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1958480, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1958490, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1958500, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1958510, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1958520, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1958531, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1958540, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1958550, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1958560, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1958571, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1958580, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1958590, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1958600, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1958610, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1958620, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1958630, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1958640, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1958650, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1958661, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1958670, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1958680, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1958690, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1958701, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1958710, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1958720, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1958730, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1958740, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1958750, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1958760, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1958770, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1958780, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1958790, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1958800, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1958810, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1958820, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
