QGPIORecord, QRC v6.1.0, 14-12-2023 @ 12:58:36, Windows 10 Version 2009, 10.0.22621, x86_64
Time, ValueIn0, ValueIn1, ValueIn2, ValueIn3, ValueIn4, ValueIn5, ValueIn6, ValueIn7, ValueIn8, ValueIn9, ValueIn10, ValueIn11
346970, 0.20001, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
346980, 0.202942, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
346991, 0.20001, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
347000, 0.202942, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
347011, 0.207514, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
347020, 0.20001, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
347030, 0.202942, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
347040, 0.20001, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
347051, 0.201465, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
347060, 0.202942, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
347070, 0.20001, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
347080, 0.201465, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
347090, 0.201465, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
347100, 0.201465, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
347110, 0.20001, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
347120, 0.198578, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
347130, 0.20001, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
347140, 0.198578, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
347150, 0.202942, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
347160, 0.202942, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
347170, 0.195777, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
347181, 0.20001, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
347190, 0.202942, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
347200, 0.201465, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
347210, 0.201465, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
347220, 0.201465, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
347230, 0.20001, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
347240, 0.20001, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
347250, 0.195777, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
347260, 0.20001, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
347270, 0.198578, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
347280, 0.202942, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
347290, 0.197167, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
