QGPIORecord, QRC v6.1.0, 16-12-2023 @ 13:32:45, Windows 10 Version 2009, 10.0.22621, x86_64
Time, ValueIn0, ValueIn1, ValueIn2, ValueIn3, ValueIn4, ValueIn5, ValueIn6, ValueIn7, ValueIn8, ValueIn9, ValueIn10, ValueIn11
1367301, -0.1, 0.0997103, 0.177087, 0.239706, -0.000183642, 0, 0, 0, -0.0999082, 4.94427e-06, -0.000518046, 0
1367311, -0.1, 0.10003, 0.180264, 0.243013, -3.20971e-05, 0, 0, 0, -0.099984, 4.94427e-06, 0.000119641, 0
1367322, -0.1, 0.0993932, 0.163084, 0.225257, -0.000762016, 0, 0, 0, -0.099619, 4.94427e-06, -0.000591032, 0
1367330, -0.1, 0.0997103, 0.164306, 0.226612, -0.000643328, 0, 0, 0, -0.0996783, 4.94427e-06, 8.36924e-05, 0
1367341, -0.1, 0.10003, 0.173286, 0.235972, -0.000204161, 0, 0, 0, -0.0998979, 4.94427e-06, 0.000344887, 0
1367351, -0.1, 0.101002, 0.204894, 0.26867, 0.00116168, 0, 0, 0, -0.100581, 4.94427e-06, 0.00110168, 0
1367361, -0.1, 0.101002, 0.21926, 0.283381, 0.00167294, 0, 0, 0, -0.100836, 4.94427e-06, 0.000432417, 0
1367371, -0.1, 0.0997103, 0.189747, 0.252673, 0.000268146, 0, 0, 0, -0.100134, 4.94427e-06, -0.00110944, 0
1367380, -0.1, 0.0997103, 0.177966, 0.240462, -0.000257701, 0, 0, 0, -0.0998712, 4.94427e-06, -0.000421084, 0
1367391, -0.1, 0.0993932, 0.163633, 0.225677, -0.00084646, 0, 0, 0, -0.0995768, 4.94427e-06, -0.000480488, 0
1367401, -0.1, 0.10003, 0.175178, 0.237712, -0.000280201, 0, 0, 0, -0.0998599, 4.94427e-06, 0.00044442, 0
1367411, -0.1, 0.0997103, 0.170319, 0.232723, -0.000462964, 0, 0, 0, -0.0997685, 4.94427e-06, -0.000152394, 0
1367420, -0.1, 0.10003, 0.177022, 0.239708, -0.000136644, 0, 0, 0, -0.0999317, 4.94427e-06, 0.000256509, 0
1367431, -0.1, 0.0997103, 0.170351, 0.232828, -0.000409231, 0, 0, 0, -0.0997954, 4.94427e-06, -0.000222735, 0
1367441, -0.1, 0.0997103, 0.16712, 0.229538, -0.000511274, 0, 0, 0, -0.0997444, 4.94427e-06, -8.91685e-05, 0
1367451, -0.1, 0.10003, 0.174433, 0.237158, -0.000154734, 0, 0, 0, -0.0999226, 4.94427e-06, 0.000280179, 0
1367460, -0.1, 0.0997103, 0.16799, 0.230517, -0.000415996, 0, 0, 0, -0.099792, 4.94427e-06, -0.000213876, 0
1367471, -0.1, 0.0997103, 0.164845, 0.227316, -0.000513807, 0, 0, 0, -0.0997431, 4.94427e-06, -8.5853e-05, 0
1367481, -0.1, 0.10003, 0.172191, 0.23497, -0.000155672, 0, 0, 0, -0.0999222, 4.94427e-06, 0.000281416, 0
1367491, -0.1, 0.0997103, 0.165759, 0.228341, -0.000416353, 0, 0, 0, -0.0997918, 4.94427e-06, -0.000213414, 0
1367500, -0.1, 0.10003, 0.171875, 0.234712, -0.000119194, 0, 0, 0, -0.0999404, 4.94427e-06, 0.000233665, 0
1367511, -0.1, 0.10003, 0.174239, 0.23717, -7.95722e-06, 0, 0, 0, -0.099996, 4.94427e-06, 8.80584e-05, 0
1367521, -0.1, 0.0997103, 0.165943, 0.228596, -0.000361055, 0, 0, 0, -0.0998195, 4.94427e-06, -0.000285797, 0
1367531, -0.1, 0.10003, 0.17136, 0.234239, -9.84967e-05, 0, 0, 0, -0.0999508, 4.94427e-06, 0.000206567, 0
1367541, -0.1, 0.0997103, 0.164207, 0.226857, -0.000394955, 0, 0, 0, -0.0998025, 4.94427e-06, -0.000241429, 0
1367550, -0.1, 0.0997103, 0.160797, 0.223378, -0.000505924, 0, 0, 0, -0.099747, 4.94427e-06, -9.61646e-05, 0
1367561, -0.1, 0.10003, 0.168042, 0.230929, -0.000152722, 0, 0, 0, -0.0999236, 4.94427e-06, 0.000277556, 0
1367571, -0.1, 0.0997103, 0.161574, 0.224261, -0.000415251, 0, 0, 0, -0.0997924, 4.94427e-06, -0.00021486, 0
1367581, -0.1, 0.10003, 0.167675, 0.230617, -0.000118792, 0, 0, 0, -0.0999406, 4.94427e-06, 0.000233129, 0
1367590, -0.1, 0.0997103, 0.160778, 0.223502, -0.000402555, 0, 0, 0, -0.0997987, 4.94427e-06, -0.000231482, 0
1367601, -0.1, 0.0997103, 0.157463, 0.220124, -0.00050877, 0, 0, 0, -0.0997456, 4.94427e-06, -9.24394e-05, 0
1367611, -0.1, 0.0993932, 0.1463, 0.208645, -0.000940442, 0, 0, 0, -0.0995298, 4.94427e-06, -0.000357464, 0
1367621, -0.1, 0.10003, 0.15903, 0.221917, -0.000315383, 0, 0, 0, -0.0998423, 4.94427e-06, 0.000490472, 0
1367630, -0.1, 0.101002, 0.192042, 0.25608, 0.00112005, 0, 0, 0, -0.10056, 4.94427e-06, 0.00115618, 0
1367641, -0.1, 0.10133, 0.216461, 0.281188, 0.00206368, 0, 0, 0, -0.101032, 4.94427e-06, 0.000781536, 0
1367651, -0.1, 0.0997103, 0.182015, 0.245333, 0.000414401, 0, 0, 0, -0.100207, 4.94427e-06, -0.00130089, 0
1367661, -0.1, 0.0997103, 0.168388, 0.231197, -0.000202954, 0, 0, 0, -0.0998985, 4.94427e-06, -0.000492752, 0
1367670, -0.1, 0.0997103, 0.162554, 0.225191, -0.000434056, 0, 0, 0, -0.099783, 4.94427e-06, -0.000190243, 0
