QGPIORecord, QRC v6.1.0, 20-12-2023 @ 23:22:28, Windows 10 Version 2009, 10.0.22621, x86_64
Time, ValueIn0, ValueIn1, ValueIn2, ValueIn3, ValueIn4, ValueIn5, ValueIn6, ValueIn7, ValueIn8, ValueIn9, ValueIn10, ValueIn11
7960, 0, 0.0993932, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
7971, 0, 0.0997103, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
7981, 0, 0.0997103, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
7990, 0, 0.0997103, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8000, 0, 0.0997103, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8010, 0, 0.0997103, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8020, 0, 0.0997103, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8030, 0, 0.0997103, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8040, 0, 0.0997103, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8050, 0, 0.0993932, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8060, 0, 0.10003, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8070, 0, 0.0993932, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8080, 0, 0.0997103, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8090, 0, 0.0997103, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8100, 0, 0.0997103, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8111, 0, 0.0997103, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8120, 0, 0.0997103, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8130, 0, 0.0993932, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8140, 0, 0.10003, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8151, 0, 0.0997103, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8160, 0, 0.0997103, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8170, 0, 0.0997103, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8180, 0, 0.0997103, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8190, 0, 0.0997103, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8200, 0, 0.0997103, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8210, 0, 0.0997103, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8220, 0, 0.10003, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8230, 0, 0.0997103, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8240, 0, 0.100675, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8250, 0, 0.101002, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8260, 0, 0.0993932, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
