QGPIORecord, QRC v6.1.0, 20-12-2023 @ 20:58:28, Windows 10 Version 2009, 10.0.22621, x86_64,,,,,,,
Time, ValueIn0, y, x, P, L , nu, S, ValueIn7, ValueIn8, ValueIn9, ValueIn10, ValueIn11
103600,0,0.100675,0,0,0,0,0,0,0,0,0,0
103610,0,0.10003,0,0,0,0,0,0,0,0,0,0
103621,0,0.0997103,0,0,0,0,0,0,0,0,0,0
103630,0,0.0993932,0,0,0,0,0,0,0,0,0,0
103641,0,0.100675,0,0,0,0,0,0,0,0,0,0
103650,0,0.100675,0,0,0,0,0,0,0,0,0,0
103660,0,0.0997103,0,0,0,0,0,0,0,0,0,0
103670,0,0.100675,0,0,0,0,0,0,0,0,0,0
103681,0,0.101002,0,0,0,0,0,0,0,0,0,0
103690,0,0.100351,0,0,0,0,0,0,0,0,0,0
103700,0,0.0993932,0,0,0,0,0,0,0,0,0,0
103710,0,0.0997103,0,0,0,0,0,0,0,0,0,0
103720,0,0.0993932,0,0,0,0,0,0,0,0,0,0
103730,0,0.100675,0,0,0,0,0,0,0,0,0,0
103740,0,0.101002,0,0,0,0,0,0,0,0,0,0
103750,0,0.100675,0,0,0,0,0,0,0,0,0,0
103760,0,0.100675,0,0,0,0,0,0,0,0,0,0
103770,0,0.101002,0,0,0,0,0,0,0,0,0,0
103780,0,0.100675,0,0,0,0,0,0,0,0,0,0
103790,0,0.100675,0,0,0,0,0,0,0,0,0,0
103800,0,0.0997103,0,0,0,0,0,0,0,0,0,0
103811,0,0.100675,0,0,0,0,0,0,0,0,0,0
103820,0,0.101002,0,0,0,0,0,0,0,0,0,0
103830,0,0.100675,0,0,0,0,0,0,0,0,0,0
103840,0,0.100675,0,0,0,0,0,0,0,0,0,0
103851,0,0.0997103,0,0,0,0,0,0,0,0,0,0
103860,0,0.100675,0,0,0,0,0,0,0,0,0,0
103870,0,0.101002,0,0,0,0,0,0,0,0,0,0
103880,0,0.100675,0,0,0,0,0,0,0,0,0,0
103890,0,0.100675,0,0,0,0,0,0,0,0,0,0
103900,0,0.100675,0,0,0,0,0,0,0,0,0,0
103910,0,0.101002,0,0,0,0,0,0,0,0,0,0
103920,0,0.0993932,0,0,0,0,0,0,0,0,0,0
103930,0,0.0997103,0,0,0,0,0,0,0,0,0,0
103940,0,0.100675,0,0,0,0,0,0,0,0,0,0
103950,0,0.100675,0,0,0,0,0,0,0,0,0,0
103960,0,0.101002,0,0,0,0,0,0,0,0,0,0
103970,0,0.0993932,0,0,0,0,0,0,0,0,0,0
103981,0,0.0997103,0,0,0,0,0,0,0,0,0,0
103990,0,0.100351,0,0,0,0,0,0,0,0,0,0
104000,0,0.101002,0,0,0,0,0,0,0,0,0,0
104010,0,0.101002,0,0,0,0,0,0,0,0,0,0
104020,0,0.100675,0,0,0,0,0,0,0,0,0,0
104030,0,0.0993932,0,0,0,0,0,0,0,0,0,0
104040,0,0.0993932,0,0,0,0,0,0,0,0,0,0
104050,0,0.0993932,0,0,0,0,0,0,0,0,0,0
104060,0,0.0993932,0,0,0,0,0,0,0,0,0,0
104070,0,0.100351,0,0,0,0,0,0,0,0,0,0
104080,0,0.100675,0,0,0,0,0,0,0,0,0,0
