QGPIORecord, QRC v6.1.0, 22-12-2023 @ 00:13:21, Windows 10 Version 2009, 10.0.22621, x86_64
Time, ValueIn0, ValueIn1, ValueIn2, ValueIn3, ValueIn4, ValueIn5, ValueIn6, ValueIn7, ValueIn8, ValueIn9, ValueIn10, ValueIn11
45911, 0, 0.100675, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
45920, 0, 0.101002, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
45930, 0, 0.101002, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
45941, 0, 0.10133, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
45950, 0, 0.101002, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
45960, 0, 0.101002, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
45970, 0, 0.101002, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
45980, 0, 0.101002, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
45990, 0, 0.10133, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
46000, 0, 0.101002, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
46010, 0, 0.101002, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
46020, 0, 0.10133, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
46030, 0, 0.101002, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
46041, 0, 0.101002, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
46050, 0, 0.101002, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
46060, 0, 0.101002, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
46070, 0, 0.10133, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
46081, 0, 0.10133, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
46090, 0, 0.101002, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
46100, 0, 0.101002, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
46110, 0, 0.101002, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
46120, 0, 0.10133, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
46130, 0, 0.100675, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
46140, 0, 0.101002, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
46150, 0, 0.10133, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
46160, 0, 0.10133, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
46170, 0, 0.101002, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
46180, 0, 0.10133, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
46190, 0, 0.101002, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
46200, 0, 0.101002, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
46211, 0, 0.100675, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
46220, 0, 0.101002, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
46230, 0, 0.101002, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
46240, 0, 0.10133, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
46251, 0, 0.101002, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
46260, 0, 0.10133, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
46270, 0, 0.101002, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
46280, 0, 0.101002, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
46290, 0, 0.10133, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
46300, 0, 0.101002, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
46310, 0, 0.101002, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
46320, 0, 0.101002, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
46330, 0, 0.101002, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
46341, 0, 0.101002, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
46350, 0, 0.101002, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
46360, 0, 0.101002, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
46370, 0, 0.10133, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
46381, 0, 0.10133, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
46390, 0, 0.101002, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
46400, 0, 0.10133, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
46410, 0, 0.101002, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
46420, 0, 0.101002, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
46430, 0, 0.100675, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
46440, 0, 0.101002, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
46450, 0, 0.10133, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
46460, 0, 0.10133, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
46470, 0, 0.101002, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
46480, 0, 0.10133, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
