QGPIORecord, QRC v6.1.0, 22-12-2023 @ 13:57:20, Windows 10 Version 2009, 10.0.22621, x86_64,,,,,,,
Time, ValueIn0, ValueIn1, ValueIn2, ValueIn3, ValueIn4, ValueIn5, ValueIn6, ValueIn7, ValueIn8, ValueIn9, ValueIn10, ValueIn11
204121,0,0.0997103,0,0,0.00400044,-0.002,-0.000268444,0.00400844,0,0,-0.0999786,0
204131,0,0.10003,0,0,0.00400044,-0.002,-0.000268444,0.00400844,0,0,-0.0999786,0
204140,0,0.0997103,0,0,0.00400044,-0.002,-0.000268444,0.00400844,0,0,-0.0999786,0
204150,0,0.10003,0,0,0.00400044,-0.002,-0.000268444,0.00400844,0,0,-0.0999786,0
204161,0,0.0997103,0,0,0.00400044,-0.002,-0.000268444,0.00400844,0,0,-0.0999786,0
204170,0,0.0997103,0,0,0.00400044,-0.002,-0.000268444,0.00400844,0,0,-0.0999786,0
204180,0,0.0990784,0,0,0.00400044,-0.002,-0.000268444,0.00400844,0,0,-0.0999786,0
204190,0,0.10003,0,0,0.00400044,-0.002,-0.000268444,0.00400844,0,0,-0.0999786,0
204200,0,0.0997103,0,0,0.00400044,-0.002,-0.000268444,0.00400844,0,0,-0.0999786,0
204210,0,0.10003,0,0,0.00400044,-0.002,-0.000268444,0.00400844,0,0,-0.0999786,0
204220,0,0.0997103,0,0,0.00400044,-0.002,-0.000268444,0.00400844,0,0,-0.0999786,0
204230,0,0.0997103,0,0,0.00400044,-0.002,-0.000268444,0.00400844,0,0,-0.0999786,0
204240,0,0.0997103,0,0,0.00400044,-0.002,-0.000268444,0.00400844,0,0,-0.0999786,0
204250,0,0.0997103,0,0,0.00400044,-0.002,-0.000268444,0.00400844,0,0,-0.0999786,0
204260,0,0.100351,0,0,0.00400044,-0.002,-0.000268444,0.00400844,0,0,-0.0999786,0
204270,0,0.10003,0,0,0.00400044,-0.002,-0.000268444,0.00400844,0,0,-0.0999786,0
204280,0,0.0997103,0,0,0.00400044,-0.002,-0.000268444,0.00400844,0,0,-0.0999786,0
204291,0,0.10003,0,0,0.00400044,-0.002,-0.000268444,0.00400844,0,0,-0.0999786,0
204300,0,0.0997103,0,0,0.00400044,-0.002,-0.000268444,0.00400844,0,0,-0.0999786,0
204310,0,0.0997103,0,0,0.00400044,-0.002,-0.000268444,0.00400844,0,0,-0.0999786,0
204320,0,0.10003,0,0,0.00400044,-0.002,-0.000268444,0.00400844,0,0,-0.0999786,0
204331,0,0.0997103,0,0,0.00400044,-0.002,-0.000268444,0.00400844,0,0,-0.0999786,0
204340,0,0.0997103,0,0,0.00400044,-0.002,-0.000268444,0.00400844,0,0,-0.0999786,0
204350,0,0.10003,0,0,0.00400044,-0.002,-0.000268444,0.00400844,0,0,-0.0999786,0
204360,0,0.0997103,0,0,0.00400044,-0.002,-0.000268444,0.00400844,0,0,-0.0999786,0
204370,0,0.10003,0,0,0.00400044,-0.002,-0.000268444,0.00400844,0,0,-0.0999786,0
204380,0,0.0997103,0,0,0.00400044,-0.002,-0.000268444,0.00400844,0,0,-0.0999786,0
204390,0,0.0997103,0,0,0.00400044,-0.002,-0.000268444,0.00400844,0,0,-0.0999786,0
