QGPIORecord, QRC v6.1.0, 22-12-2023 @ 14:01:31, Windows 10 Version 2009, 10.0.22621, x86_64
Time, ValueIn0, ValueIn1, ValueIn2, ValueIn3, ValueIn4, ValueIn5, ValueIn6, ValueIn7, ValueIn8, ValueIn9, ValueIn10, ValueIn11
454950, 0, 0.0997103, 0, 0, 0.000399999, -0.0396, -0.000138693, 0.000407999, 0, 0, -0.0998493, 0
454960, 0, 0.0997103, 0, 0, 0.000399999, -0.0396, -0.000138693, 0.000407999, 0, 0, -0.0998493, 0
454971, 0, 0.0997103, 0, 0, 0.000399999, -0.0396, -0.000138693, 0.000407999, 0, 0, -0.0998493, 0
454980, 0, 0.0997103, 0, 0, 0.000399999, -0.0396, -0.000138693, 0.000407999, 0, 0, -0.0998493, 0
454990, 0, 0.0997103, 0, 0, 0.000399999, -0.0396, -0.000138693, 0.000407999, 0, 0, -0.0998493, 0
455001, 0, 0.10003, 0, 0, 0.000399999, -0.0396, -0.000138693, 0.000407999, 0, 0, -0.0998493, 0
455010, 0, 0.0997103, 0, 0, 0.000399999, -0.0396, -0.000138693, 0.000407999, 0, 0, -0.0998493, 0
455020, 0, 0.10003, 0, 0, 0.000399999, -0.0396, -0.000138693, 0.000407999, 0, 0, -0.0998493, 0
455030, 0, 0.0997103, 0, 0, 0.000399999, -0.0396, -0.000138693, 0.000407999, 0, 0, -0.0998493, 0
455041, 0, 0.0997103, 0, 0, 0.000399999, -0.0396, -0.000138693, 0.000407999, 0, 0, -0.0998493, 0
455050, 0, 0.10003, 0, 0, 0.000399999, -0.0396, -0.000138693, 0.000407999, 0, 0, -0.0998493, 0
455060, 0, 0.0997103, 0, 0, 0.000399999, -0.0396, -0.000138693, 0.000407999, 0, 0, -0.0998493, 0
455070, 0, 0.0997103, 0, 0, 0.000399999, -0.0396, -0.000138693, 0.000407999, 0, 0, -0.0998493, 0
455080, 0, 0.10003, 0, 0, 0.000399999, -0.0396, -0.000138693, 0.000407999, 0, 0, -0.0998493, 0
455090, 0, 0.0997103, 0, 0, 0.000399999, -0.0396, -0.000138693, 0.000407999, 0, 0, -0.0998493, 0
455100, 0, 0.10003, 0, 0, 0.000399999, -0.0396, -0.000138693, 0.000407999, 0, 0, -0.0998493, 0
455110, 0, 0.0997103, 0, 0, 0.000399999, -0.0396, -0.000138693, 0.000407999, 0, 0, -0.0998493, 0
455120, 0, 0.0997103, 0, 0, 0.000399999, -0.0396, -0.000138693, 0.000407999, 0, 0, -0.0998493, 0
455130, 0, 0.10003, 0, 0, 0.000399999, -0.0396, -0.000138693, 0.000407999, 0, 0, -0.0998493, 0
455140, 0, 0.10003, 0, 0, 0.000399999, -0.0396, -0.000138693, 0.000407999, 0, 0, -0.0998493, 0
455150, 0, 0.0997103, 0, 0, 0.000399999, -0.0396, -0.000138693, 0.000407999, 0, 0, -0.0998493, 0
455160, 0, 0.10003, 0, 0, 0.000399999, -0.0396, -0.000138693, 0.000407999, 0, 0, -0.0998493, 0
455171, 0, 0.0997103, 0, 0, 0.000399999, -0.0396, -0.000138693, 0.000407999, 0, 0, -0.0998493, 0
455180, 0, 0.0997103, 0, 0, 0.000399999, -0.0396, -0.000138693, 0.000407999, 0, 0, -0.0998493, 0
455190, 0, 0.10003, 0, 0, 0.000399999, -0.0396, -0.000138693, 0.000407999, 0, 0, -0.0998493, 0
455200, 0, 0.0997103, 0, 0, 0.000399999, -0.0396, -0.000138693, 0.000407999, 0, 0, -0.0998493, 0
455211, 0, 0.0993932, 0, 0, 0.000399999, -0.0396, -0.000138693, 0.000407999, 0, 0, -0.0998493, 0
