QGPIORecord, QRC v6.1.0, 18-12-2023 @ 18:05:09, Windows 10 Version 2009, 10.0.22621, x86_64
Time, ValueIn0, ValueIn1, ValueIn2, ValueIn3, ValueIn4, ValueIn5, ValueIn6, ValueIn7x, ValueIn8, ValueIn9, ValueIn10, ValueIn11
27290, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.00193282, 3.12777
27300, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.00193282, 3.12777
27312, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.00193282, 3.12777
27320, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.00193282, 3.12777
27330, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.00193282, 3.12777
27340, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.00193282, 3.12931
27351, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.00193282, 3.12931
27360, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.00193282, 3.12931
27370, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.00193282, 3.12931
27380, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.00193282, 3.13084
27390, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.00193282, 3.13084
27400, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.00193282, 3.13084
27410, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.00193282, 3.13084
27420, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.00193282, 3.13084
27430, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.00193282, 3.13084
27441, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.00193282, 3.13238
27450, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.00193282, 3.13238
27460, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.00193282, 3.13238
27470, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.00193282, 3.13238
27481, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.00193282, 3.13084
27490, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.00193282, 3.13084
27500, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.00193282, 3.13084
27510, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.00193282, 3.13084
27521, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.00193282, 3.13084
27530, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.00193282, 3.13084
27540, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.00193282, 3.13084
