QGPIORecord, QRC v6.1.0, 21-12-2023 @ 13:09:03, Windows 10 Version 2009, 10.0.22621, x86_64,,,,,,,
Time, x1, x2, x3, P11, P12, P13, P22, P23, P33, y1, y2, ValueIn11
243402,-0.00298206,-0.00137991,0.00256194,0.00828102,0,0,0.00106663,0.00103278,0.0170081,0.00153548,0,0
243412,-0.00298206,-0.00137991,0.00256194,0.00829102,0,0,0.00106663,0.00103278,0.0170081,0.00153548,0,0
243424,-0.00298206,-0.00137991,0.00256194,0.00830102,0,0,0.00106663,0.00103278,0.0170081,0.00153548,0,0
243433,-0.00298206,-0.00137991,0.00256194,0.00831102,0,0,0.00106663,0.00103278,0.0170081,0.00153548,0,0
243442,-0.00298206,-0.00137991,0.00256194,0.00832102,0,0,0.00106663,0.00103278,0.0170081,0.00153548,0,0
243452,-0.00298206,-0.00137991,0.00256194,0.00833102,0,0,0.00106663,0.00103278,0.0170081,0.00153548,0,0
243463,-0.00298206,-0.00137991,0.00256194,0.00834102,0,0,0.00106663,0.00103278,0.0170081,0.00153548,0,0
243473,-0.00298206,-0.00137991,0.00256194,0.00835102,0,0,0.00106663,0.00103278,0.0170081,0.00153548,0,0
243482,-0.00298206,-0.00137991,0.00256194,0.00836102,0,0,0.00106663,0.00103278,0.0170081,0.00153548,0,0
243492,-0.00298206,-0.00137991,0.00256194,0.00837102,0,0,0.00106663,0.00103278,0.0170081,0.00153548,0,0
243503,-0.00298206,-0.00137991,0.00256194,0.00838102,0,0,0.00106663,0.00103278,0.0170081,0.00153548,0,0
243513,-0.00298206,-0.00137991,0.00256194,0.00839102,0,0,0.00106663,0.00103278,0.0170081,0.00153548,0,0
243522,-0.00298206,-0.00137991,0.00256194,0.00840102,0,0,0.00106663,0.00103278,0.0170081,0.00153548,0,0
243532,-0.00298206,-0.00137991,0.00256194,0.00841102,0,0,0.00106663,0.00103278,0.0170081,0.00153548,0,0
243543,-0.00298206,-0.00137991,0.00256194,0.00842102,0,0,0.00106663,0.00103278,0.0170081,0.00153548,0,0
243553,-0.00298206,-0.00137991,0.00256194,0.00843102,0,0,0.00106663,0.00103278,0.0170081,0.00153548,0,0
243563,-0.00298206,-0.00137991,0.00256194,0.00844102,0,0,0.00106663,0.00103278,0.0170081,0.00153548,0,0
243572,-0.00298206,-0.00137991,0.00256194,0.00845102,0,0,0.00106663,0.00103278,0.0170081,0.00153548,0,0
243582,-0.00298206,-0.00137991,0.00256194,0.00846102,0,0,0.00106663,0.00103278,0.0170081,0.00153548,0,0
243593,-0.00298206,-0.00137991,0.00256194,0.00847102,0,0,0.00106663,0.00103278,0.0170081,0.00153548,0,0
243603,-0.00298206,-0.00137991,0.00256194,0.00848102,0,0,0.00106663,0.00103278,0.0170081,0.00153548,0,0
243612,-0.00298206,-0.00137991,0.00256194,0.00849102,0,0,0.00106663,0.00103278,0.0170081,0.00153548,0,0
243622,-0.00298206,-0.00137991,0.00256194,0.00850101,0,0,0.00106663,0.00103278,0.0170081,0.00153548,0,0
243633,-0.00298206,-0.00137991,0.00256194,0.00851101,0,0,0.00106663,0.00103278,0.0170081,0.00153548,0,0
243643,-0.00298206,-0.00137991,0.00256194,0.00852101,0,0,0.00106663,0.00103278,0.0170081,0.00153548,0,0
243652,-0.00298206,-0.00137991,0.00256194,0.00853101,0,0,0.00106663,0.00103278,0.0170081,0.00153548,0,0
243662,-0.00298206,-0.00137991,0.00256194,0.00854101,0,0,0.00106663,0.00103278,0.0170081,0.00153548,0,0
243673,-0.00298206,-0.00137991,0.00256194,0.00855101,0,0,0.00106663,0.00103278,0.0170081,0.00153548,0,0
243683,-0.00298206,-0.00137991,0.00256194,0.00856101,0,0,0.00106663,0.00103278,0.0170081,0.00153548,0,0
243692,-0.00298206,-0.00137991,0.00256194,0.00857101,0,0,0.00106663,0.00103278,0.0170081,0.00153548,0,0
243702,-0.00298206,-0.00137991,0.00256194,0.00858101,0,0,0.00106663,0.00103278,0.0170081,0.00153548,0,0
243713,-0.00298206,-0.00137991,0.00256194,0.00859101,0,0,0.00106663,0.00103278,0.0170081,0.00153548,0,0
243723,-0.00298206,-0.00137991,0.00256194,0.00860101,0,0,0.00106663,0.00103278,0.0170081,0.00153548,0,0
243733,-0.00298206,-0.00137991,0.00256194,0.00861101,0,0,0.00106663,0.00103278,0.0170081,0.00153548,0,0
243742,-0.00298206,-0.00137991,0.00256194,0.00862101,0,0,0.00106663,0.00103278,0.0170081,0.00153548,0,0
243752,-0.00298206,-0.00137991,0.00256194,0.00863101,0,0,0.00106663,0.00103278,0.0170081,0.00153548,0,0
243763,-0.00298206,-0.00137991,0.00256194,0.00864101,0,0,0.00106663,0.00103278,0.0170081,0.00153548,0,0
243773,-0.00298206,-0.00137991,0.00256194,0.00865101,0,0,0.00106663,0.00103278,0.0170081,0.00153548,0,0
243782,-0.00298206,-0.00137991,0.00256194,0.00866101,0,0,0.00106663,0.00103278,0.0170081,0.00153548,0,0
243792,-0.00298206,-0.00137991,0.00256194,0.00867101,0,0,0.00106663,0.00103278,0.0170081,0.00153548,0,0
243803,-0.00298206,-0.00137991,0.00256194,0.00868101,0,0,0.00106663,0.00103278,0.0170081,0.00153548,0,0
243813,-0.00298206,-0.00137991,0.00256194,0.00869101,0,0,0.00106663,0.00103278,0.0170081,0.00153548,0,0
243822,-0.00298206,-0.00137991,0.00256194,0.00870101,0,0,0.00106663,0.00103278,0.0170081,0.00153548,0,0
243832,-0.00298206,-0.00137991,0.00256194,0.00871101,0,0,0.00106663,0.00103278,0.0170081,0.00153548,0,0
243843,-0.00298206,-0.00137991,0.00256194,0.00872101,0,0,0.00106663,0.00103278,0.0170081,0.00153548,0,0
243853,-0.00298206,-0.00137991,0.00256194,0.00873101,0,0,0.00106663,0.00103278,0.0170081,0.00153548,0,0
243862,-0.00298206,-0.00137991,0.00256194,0.00874101,0,0,0.00106663,0.00103278,0.0170081,0.00153548,0,0
243872,-0.00298206,-0.00137991,0.00256194,0.008751,0,0,0.00106663,0.00103278,0.0170081,0.00153548,0,0
243883,-0.00298206,-0.00137991,0.00256194,0.008761,0,0,0.00106663,0.00103278,0.0170081,0.00153548,0,0
243893,-0.00298206,-0.00137991,0.00256194,0.008771,0,0,0.00106663,0.00103278,0.0170081,0.00153548,0,0
243903,-0.00298206,-0.00137991,0.00256194,0.008781,0,0,0.00106663,0.00103278,0.0170081,0.00153548,0,0
243912,-0.00298206,-0.00137991,0.00256194,0.008791,0,0,0.00106663,0.00103278,0.0170081,0.00153548,0,0
243922,-0.00298206,-0.00137991,0.00256194,0.008801,0,0,0.00106663,0.00103278,0.0170081,0.00153548,0,0
243933,-0.00298206,-0.00137991,0.00256194,0.008811,0,0,0.00106663,0.00103278,0.0170081,0.00153548,0,0
243943,-0.00298206,-0.00137991,0.00256194,0.008821,0,0,0.00106663,0.00103278,0.0170081,0.00153548,0,0
243952,-0.00298206,-0.00137991,0.00256194,0.008831,0,0,0.00106663,0.00103278,0.0170081,0.00153548,0,0
243962,-0.00298206,-0.00137991,0.00256194,0.008841,0,0,0.00106663,0.00103278,0.0170081,0.00153548,0,0
243973,-0.00298206,-0.00137991,0.00256194,0.008851,0,0,0.00106663,0.00103278,0.0170081,0.00153548,0,0
243983,-0.00298206,-0.00137991,0.00256194,0.008861,0,0,0.00106663,0.00103278,0.0170081,0.00153548,0,0
243992,-0.00298206,-0.00137991,0.00256194,0.008871,0,0,0.00106663,0.00103278,0.0170081,0.00153548,0,0
244002,-0.00298206,-0.00137991,0.00256194,0.008881,0,0,0.00106663,0.00103278,0.0170081,0.00153548,0,0
244013,-0.00298206,-0.00137991,0.00256194,0.008891,0,0,0.00106663,0.00103278,0.0170081,0.00153548,0,0
244023,-0.00298206,-0.00137991,0.00256194,0.008901,0,0,0.00106663,0.00103278,0.0170081,0.00153548,0,0
244033,-0.00298206,-0.00137991,0.00256194,0.008911,0,0,0.00106663,0.00103278,0.0170081,0.00153548,0,0
244042,-0.00298206,-0.00137991,0.00256194,0.008921,0,0,0.00106663,0.00103278,0.0170081,0.00153548,0,0
244052,-0.00298206,-0.00137991,0.00256194,0.008931,0,0,0.00106663,0.00103278,0.0170081,0.00153548,0,0
244063,-0.00298206,-0.00137991,0.00256194,0.008941,0,0,0.00106663,0.00103278,0.0170081,0.00153548,0,0
244073,-0.00298206,-0.00137991,0.00256194,0.008951,0,0,0.00106663,0.00103278,0.0170081,0.00153548,0,0
244082,-0.00298206,-0.00137991,0.00256194,0.008961,0,0,0.00106663,0.00103278,0.0170081,0.00153548,0,0
244092,-0.00298206,-0.00137991,0.00256194,0.008971,0,0,0.00106663,0.00103278,0.0170081,0.00153548,0,0
244103,-0.00298206,-0.00137991,0.00256194,0.008981,0,0,0.00106663,0.00103278,0.0170081,0.00153548,0,0
244113,-0.00298206,-0.00137991,0.00256194,0.008991,0,0,0.00106663,0.00103278,0.0170081,0.00153548,0,0
244122,-0.00298206,-0.00137991,0.00256194,0.009001,0,0,0.00106663,0.00103278,0.0170081,0.00153548,0,0
244132,-0.00298206,-0.00137991,0.00256194,0.00901099,0,0,0.00106663,0.00103278,0.0170081,0.00153548,0,0
244143,-0.00298206,-0.00137991,0.00256194,0.00902099,0,0,0.00106663,0.00103278,0.0170081,0.00153548,0,0
244153,-0.00298206,-0.00137991,0.00256194,0.00903099,0,0,0.00106663,0.00103278,0.0170081,0.00153548,0,0
244162,-0.00298206,-0.00137991,0.00256194,0.00904099,0,0,0.00106663,0.00103278,0.0170081,0.00153548,0,0
244172,-0.00298206,-0.00137991,0.00256194,0.00905099,0,0,0.00106663,0.00103278,0.0170081,0.00153548,0,0
244183,-0.00298206,-0.00137991,0.00256194,0.00906099,0,0,0.00106663,0.00103278,0.0170081,0.00153548,0,0
244193,-0.00298206,-0.00137991,0.00256194,0.00907099,0,0,0.00106663,0.00103278,0.0170081,0.00153548,0,0
244203,-0.00298206,-0.00137991,0.00256194,0.00908099,0,0,0.00106663,0.00103278,0.0170081,0.00153548,0,0
244212,-0.00298206,-0.00137991,0.00256194,0.00909099,0,0,0.00106663,0.00103278,0.0170081,0.00153548,0,0
244222,-0.00298206,-0.00137991,0.00256194,0.00910099,0,0,0.00106663,0.00103278,0.0170081,0.00153548,0,0
244233,-0.00298206,-0.00137991,0.00256194,0.00911099,0,0,0.00106663,0.00103278,0.0170081,0.00153548,0,0
244243,-0.00298206,-0.00137991,0.00256194,0.00912099,0,0,0.00106663,0.00103278,0.0170081,0.00153548,0,0
244252,-0.00298206,-0.00137991,0.00256194,0.00913099,0,0,0.00106663,0.00103278,0.0170081,0.00153548,0,0
244262,-0.00298206,-0.00137991,0.00256194,0.00914099,0,0,0.00106663,0.00103278,0.0170081,0.00153548,0,0
244273,-0.00298206,-0.00137991,0.00256194,0.00915099,0,0,0.00106663,0.00103278,0.0170081,0.00153548,0,0
244283,-0.00298206,-0.00137991,0.00256194,0.00916099,0,0,0.00106663,0.00103278,0.0170081,0.00153548,0,0
244292,-0.00298206,-0.00137991,0.00256194,0.00917099,0,0,0.00106663,0.00103278,0.0170081,0.00153548,0,0
244302,-0.00298206,-0.00137991,0.00256194,0.00918099,0,0,0.00106663,0.00103278,0.0170081,0.00153548,0,0
244313,-0.00298206,-0.00137991,0.00256194,0.00919099,0,0,0.00106663,0.00103278,0.0170081,0.00153548,0,0
244323,-0.00298206,-0.00137991,0.00256194,0.00920099,0,0,0.00106663,0.00103278,0.0170081,0.00153548,0,0
244332,-0.00298206,-0.00137991,0.00256194,0.00921099,0,0,0.00106663,0.00103278,0.0170081,0.00153548,0,0
244342,-0.00298206,-0.00137991,0.00256194,0.00922099,0,0,0.00106663,0.00103278,0.0170081,0.00153548,0,0
244353,-0.00298206,-0.00137991,0.00256194,0.00923099,0,0,0.00106663,0.00103278,0.0170081,0.00153548,0,0
244363,-0.00298206,-0.00137991,0.00256194,0.00924099,0,0,0.00106663,0.00103278,0.0170081,0.00153548,0,0
244373,-0.00298206,-0.00137991,0.00256194,0.00925099,0,0,0.00106663,0.00103278,0.0170081,0.00153548,0,0
244382,-0.00298206,-0.00137991,0.00256194,0.00926099,0,0,0.00106663,0.00103278,0.0170081,0.00153548,0,0
244392,-0.00298206,-0.00137991,0.00256194,0.00927098,0,0,0.00106663,0.00103278,0.0170081,0.00153548,0,0
244403,-0.00298206,-0.00137991,0.00256194,0.00928098,0,0,0.00106663,0.00103278,0.0170081,0.00153548,0,0
244413,-0.00298206,-0.00137991,0.00256194,0.00929098,0,0,0.00106663,0.00103278,0.0170081,0.00153548,0,0
244422,-0.00298206,-0.00137991,0.00256194,0.00930098,0,0,0.00106663,0.00103278,0.0170081,0.00153548,0,0
244432,-0.00298206,-0.00137991,0.00256194,0.00931098,0,0,0.00106663,0.00103278,0.0170081,0.00153548,0,0
244443,-0.00298206,-0.00137991,0.00256194,0.00932098,0,0,0.00106663,0.00103278,0.0170081,0.00153548,0,0
244453,-0.00298206,-0.00137991,0.00256194,0.00933098,0,0,0.00106663,0.00103278,0.0170081,0.00153548,0,0
244462,-0.00298206,-0.00137991,0.00256194,0.00934098,0,0,0.00106663,0.00103278,0.0170081,0.00153548,0,0
244472,-0.00298206,-0.00137991,0.00256194,0.00935098,0,0,0.00106663,0.00103278,0.0170081,0.00153548,0,0
244483,-0.00298206,-0.00137991,0.00256194,0.00936098,0,0,0.00106663,0.00103278,0.0170081,0.00153548,0,0
244493,-0.00298206,-0.00137991,0.00256194,0.00937098,0,0,0.00106663,0.00103278,0.0170081,0.00153548,0,0
244502,-0.00298206,-0.00137991,0.00256194,0.00938098,0,0,0.00106663,0.00103278,0.0170081,0.00153548,0,0
244512,-0.00298206,-0.00137991,0.00256194,0.00939098,0,0,0.00106663,0.00103278,0.0170081,0.00153548,0,0
244523,-0.00298206,-0.00137991,0.00256194,0.00940098,0,0,0.00106663,0.00103278,0.0170081,0.00153548,0,0
244533,-0.00298206,-0.00137991,0.00256194,0.00941098,0,0,0.00106663,0.00103278,0.0170081,0.00153548,0,0
244543,-0.00298206,-0.00137991,0.00256194,0.00942098,0,0,0.00106663,0.00103278,0.0170081,0.00153548,0,0
244552,-0.00298206,-0.00137991,0.00256194,0.00943098,0,0,0.00106663,0.00103278,0.0170081,0.00153548,0,0
244562,-0.00298206,-0.00137991,0.00256194,0.00944098,0,0,0.00106663,0.00103278,0.0170081,0.00153548,0,0
244573,-0.00298206,-0.00137991,0.00256194,0.00945098,0,0,0.00106663,0.00103278,0.0170081,0.00153548,0,0
244583,-0.00298206,-0.00137991,0.00256194,0.00946098,0,0,0.00106663,0.00103278,0.0170081,0.00153548,0,0
244592,-0.00298206,-0.00137991,0.00256194,0.00947098,0,0,0.00106663,0.00103278,0.0170081,0.00153548,0,0
244602,-0.00298206,-0.00137991,0.00256194,0.00948098,0,0,0.00106663,0.00103278,0.0170081,0.00153548,0,0
244613,-0.00298206,-0.00137991,0.00256194,0.00949098,0,0,0.00106663,0.00103278,0.0170081,0.00153548,0,0
244623,-0.00298206,-0.00137991,0.00256194,0.00950098,0,0,0.00106663,0.00103278,0.0170081,0.00153548,0,0
244632,-0.00298206,-0.00137991,0.00256194,0.00951098,0,0,0.00106663,0.00103278,0.0170081,0.00153548,0,0
244642,-0.00298206,-0.00137991,0.00256194,0.00952097,0,0,0.00106663,0.00103278,0.0170081,0.00153548,0,0
244653,-0.00298206,-0.00137991,0.00256194,0.00953097,0,0,0.00106663,0.00103278,0.0170081,0.00153548,0,0
244663,-0.00298206,-0.00137991,0.00256194,0.00954097,0,0,0.00106663,0.00103278,0.0170081,0.00153548,0,0
244673,-0.00298206,-0.00137991,0.00256194,0.00955097,0,0,0.00106663,0.00103278,0.0170081,0.00153548,0,0
244682,-0.00298206,-0.00137991,0.00256194,0.00956097,0,0,0.00106663,0.00103278,0.0170081,0.00153548,0,0
244692,-0.00298206,-0.00137991,0.00256194,0.00957097,0,0,0.00106663,0.00103278,0.0170081,0.00153548,0,0
244703,-0.00298206,-0.00137991,0.00256194,0.00958097,0,0,0.00106663,0.00103278,0.0170081,0.00153548,0,0
244713,-0.00298206,-0.00137991,0.00256194,0.00959097,0,0,0.00106663,0.00103278,0.0170081,0.00153548,0,0
244722,-0.00298206,-0.00137991,0.00256194,0.00960097,0,0,0.00106663,0.00103278,0.0170081,0.00153548,0,0
244732,-0.00298206,-0.00137991,0.00256194,0.00961097,0,0,0.00106663,0.00103278,0.0170081,0.00153548,0,0
244743,-0.00298206,-0.00137991,0.00256194,0.00962097,0,0,0.00106663,0.00103278,0.0170081,0.00153548,0,0
244753,-0.00298206,-0.00137991,0.00256194,0.00963097,0,0,0.00106663,0.00103278,0.0170081,0.00153548,0,0
244762,-0.00298206,-0.00137991,0.00256194,0.00964097,0,0,0.00106663,0.00103278,0.0170081,0.00153548,0,0
244772,-0.00275248,-0.00286109,0.00256194,0.00965097,0,0,0.00106663,0.00103278,0.0170081,0.00153548,0,0
244783,-0.00229331,-0.00424974,0.0039961,0.00966097,0,0,0.00106663,0.00103278,0.0170081,0.00153548,0,0
244793,-0.00160456,-0.00555164,0.00677485,0.00967097,0,0,0.00106663,0.00103278,0.0170081,0.00153548,0,0
244803,-0.000686234,-0.00514082,0.0121503,0.00968097,0,0,0.00106663,0.00103278,0.0170081,0,0,0
244813,0.000461678,-0.00630086,0.0171279,0.00969097,0,0,0.00106663,0.00103278,0.0170081,0,0,0
244823,0.00183917,-0.00412563,0.0259011,0.00970097,0,0,0.00106663,0.00103278,0.0170081,-0.00307096,0,0
244833,0.00344625,-0.00191388,0.0352402,0.00971097,0,0,0.00106663,0.00103278,0.0170081,-0.00614192,0,0
244843,0.00528291,0.0019635,0.0464462,0.00972097,0,0,0.00106663,0.00103278,0.0170081,-0.0107484,0,0
244853,0.00734892,0.00749016,0.0592423,0.00973097,0,0,0.00106663,0.00103278,0.0170081,-0.0168903,0,0
244862,0.00964451,0.0130149,0.0720316,0.00974097,0,0,0.00106663,0.00103278,0.0170081,-0.0230322,0,0
244873,0.0121697,0.0201707,0.0861521,0.00975097,0,0,0.00106663,0.00103278,0.0170081,-0.0307096,0,0
244883,0.0149244,0.0289419,0.101361,0.00976097,0,0,0.00106663,0.00103278,0.0170081,-0.0399225,0,0
244893,0.0179088,0.0376824,0.116093,0.00977097,0,0,0.00106663,0.00103278,0.0170081,-0.0491354,0,0
244903,0.0211227,0.0480255,0.131715,0.00978096,0,0,0.00106663,0.00103278,0.0170081,-0.0598837,0,0
244913,0.0245662,0.0583259,0.146675,0.00979096,0,0,0.00106663,0.00103278,0.0170081,-0.0706321,0,0
244923,0.0282393,0.0685862,0.161015,0.00980096,0,0,0.00106663,0.00103278,0.0170081,-0.0813805,0,0
244933,0.032142,0.0804404,0.176108,0.00981096,0,0,0.00106663,0.00103278,0.0170081,-0.0936643,0,0
244943,0.0362742,0.0922437,0.190413,0.00982096,0,0,0.00106663,0.00103278,0.0170081,-0.105948,0,0
244953,0.0406361,0.103999,0.203978,0.00983096,0,0,0.00106663,0.00103278,0.0170081,-0.118232,0,0
244963,0.0452275,0.11571,0.216849,0.00984096,0,0,0.00106663,0.00103278,0.0170081,-0.130516,0,0
244973,0.0500485,0.127379,0.22907,0.00985096,0,0,0.00106663,0.00103278,0.0170081,-0.1428,0,0
244983,0.0550991,0.139009,0.240682,0.00986096,0,0,0.00106663,0.00103278,0.0170081,-0.155084,0,0
244993,0.0603792,0.150601,0.251722,0.00987096,0,0,0.00106663,0.00103278,0.0170081,-0.167367,0,0
245003,0.065889,0.162159,0.262226,0.00988096,0,0,0.00106663,0.00103278,0.0170081,-0.179651,0,0
245013,0.0716281,0.173686,0.272228,0.00989096,0,0,0.00106663,0.00103278,0.0170081,-0.191935,0,0
245023,0.0775968,0.185182,0.281758,0.00990096,0,0,0.00106663,0.00103278,0.0170081,-0.204219,0,0
245033,0.083795,0.195017,0.28951,0.00991096,0,0,0.00106663,0.00103278,0.0170081,-0.214967,0,0
245043,0.0902229,0.204841,0.297091,0.00992096,0,0,0.00106663,0.00103278,0.0170081,-0.225716,0,0
245053,0.0968803,0.213024,0.303177,0.00993096,0,0,0.00106663,0.00103278,0.0170081,-0.234929,0,0
245063,0.103767,0.221213,0.309356,0.00994096,0,0,0.00106663,0.00103278,0.0170081,-0.244141,0,0
245073,0.110884,0.229407,0.315624,0.00995096,0,0,0.00106663,0.00103278,0.0170081,-0.253354,0,0
245083,0.11823,0.235975,0.320637,0.00996096,0,0,0.00106663,0.00103278,0.0170081,-0.261032,0,0
245093,0.125806,0.242564,0.325972,0.00997096,0,0,0.00106663,0.00103278,0.0170081,-0.268709,0,0
245103,0.133382,0.249022,0.330271,0.00998096,0,0,0.00106663,0.00103278,0.0170081,-0.274851,0,0
245113,0.140957,0.253791,0.332325,0.00999096,0,0,0.00106663,0.00103278,0.0170081,-0.279457,0,0
245123,0.148533,0.256888,0.332435,0.010001,0,0,0.00106663,0.00103278,0.0170081,-0.282528,0,0
245133,0.156109,0.259964,0.332218,0.010011,0,0,0.00106663,0.00103278,0.0170081,-0.285599,0,0
245143,0.163685,0.26139,0.330358,0.010021,0,0,0.00106663,0.00103278,0.0170081,-0.287135,0,0
245153,0.17126,0.262812,0.328454,0.010031,0,0,0.00106663,0.00103278,0.0170081,-0.28867,0,0
245163,0.178836,0.2626,0.325173,0.010041,0,0,0.00106663,0.00103278,0.0170081,-0.28867,0,0
245173,0.186412,0.26077,0.320761,0.010051,0,0,0.00106663,0.00103278,0.0170081,-0.287135,0,0
245183,0.193988,0.257337,0.315448,0.010061,0,0,0.00106663,0.00103278,0.0170081,-0.284064,0,0
245193,0.201563,0.253946,0.310788,0.010071,0,0,0.00106663,0.00103278,0.0170081,-0.280993,0,0
245203,0.209139,0.248963,0.305402,0.010081,0,0,0.00106663,0.00103278,0.0170081,-0.276386,0,0
245213,0.216715,0.242401,0.299497,0.010091,0,0,0.00106663,0.00103278,0.0170081,-0.270245,0,0
245223,0.224291,0.235905,0.294601,0.010101,0,0,0.00106663,0.00103278,0.0170081,-0.264103,0,0
245233,0.231866,0.227838,0.289315,0.010111,0,0,0.00106663,0.00103278,0.0170081,-0.256425,0,0
245243,0.239442,0.218212,0.283823,0.010121,0,0,0.00106663,0.00103278,0.0170081,-0.247212,0,0
245253,0.247018,0.208671,0.279634,0.010131,0,0,0.00106663,0.00103278,0.0170081,-0.237999,0,0
245263,0.254594,0.197577,0.275332,0.010141,0,0,0.00106663,0.00103278,0.0170081,-0.227251,0,0
245273,0.262169,0.186572,0.272418,0.010151,0,0,0.00106663,0.00103278,0.0170081,-0.216503,0,0
245283,0.269745,0.174021,0.26947,0.010161,0,0,0.00106663,0.00103278,0.0170081,-0.204219,0,0
245293,0.277321,0.159932,0.266651,0.0101709,0,0,0.00106663,0.00103278,0.0170081,-0.1904,0,0
245303,0.284897,0.147579,0.266785,0.0101809,0,0,0.00106663,0.00103278,0.0170081,-0.178116,0,0
245313,0.292472,0.133677,0.266854,0.0101909,0,0,0.00106663,0.00103278,0.0170081,-0.164296,0,0
245323,0.300048,0.121498,0.269695,0.0102009,0,0,0.00106663,0.00103278,0.0170081,-0.152013,0,0
245334,0.307624,0.106129,0.270967,0.0102109,0,0,0.00106663,0.00103278,0.0170081,-0.136658,0,0
245343,0.3152,0.0924882,0.275096,0.0102209,0,0,0.00106663,0.00103278,0.0170081,-0.122838,0,0
245353,0.322775,0.0772927,0.279072,0.0102309,0,0,0.00106663,0.00103278,0.0170081,-0.107484,0,0
