QGPIORecord, QRC v6.1.0, 21-12-2023 @ 11:43:59, Windows 10 Version 2009, 10.0.22621, x86_64,,,,,,,
Time, x1, x2, x3, P11, P12, P13, P22, P23, P33, y1, y2, ValueIn11
142203,0.361437,-1.38E-21,2.14E-20,1.00E-05,0,0,0.000106663,0.000103278,0.00170081,0.361437,0,0
142214,0.361437,-1.30E-21,2.01E-20,1.00E-05,0,0,0.000106663,0.000103278,0.00170081,0.361437,0,0
142224,0.361437,-1.22E-21,1.88E-20,1.00E-05,0,0,0.000106663,0.000103278,0.00170081,0.361437,0,0
142235,0.361437,-1.14E-21,1.77E-20,1.00E-05,0,0,0.000106663,0.000103278,0.00170081,0.361437,0,0
142243,0.361437,-1.07E-21,1.66E-20,1.00E-05,0,0,0.000106663,0.000103278,0.00170081,0.361437,0,0
142254,0.361437,-1.00E-21,1.55E-20,1.00E-05,0,0,0.000106663,0.000103278,0.00170081,0.361437,0,0
142264,0.361437,-9.39E-22,1.46E-20,1.00E-05,0,0,0.000106663,0.000103278,0.00170081,0.361437,0,0
142274,0.361437,-8.80E-22,1.36E-20,1.00E-05,0,0,0.000106663,0.000103278,0.00170081,0.361437,0,0
142283,0.361437,-8.25E-22,1.28E-20,1.00E-05,0,0,0.000106663,0.000103278,0.00170081,0.361437,0,0
142294,0.361437,-7.74E-22,1.20E-20,1.00E-05,0,0,0.000106663,0.000103278,0.00170081,0.361437,0,0
142304,0.361437,-7.25E-22,1.12E-20,1.00E-05,0,0,0.000106663,0.000103278,0.00170081,0.361437,0,0
142314,0.361437,-6.80E-22,1.05E-20,1.00E-05,0,0,0.000106663,0.000103278,0.00170081,0.361437,0,0
142323,0.361437,-6.37E-22,9.88E-21,1.00E-05,0,0,0.000106663,0.000103278,0.00170081,0.361437,0,0
142333,0.361437,-5.98E-22,9.26E-21,1.00E-05,0,0,0.000106663,0.000103278,0.00170081,0.361437,0,0
142344,0.361437,-5.60E-22,8.68E-21,1.00E-05,0,0,0.000106663,0.000103278,0.00170081,0.361437,0,0
142354,0.361437,-5.25E-22,8.14E-21,1.00E-05,0,0,0.000106663,0.000103278,0.00170081,0.361437,0,0
142363,0.361437,-4.92E-22,7.63E-21,1.00E-05,0,0,0.000106663,0.000103278,0.00170081,0.361437,0,0
142373,0.361437,-4.62E-22,7.16E-21,1.00E-05,0,0,0.000106663,0.000103278,0.00170081,0.361437,0,0
142384,0.361437,-4.33E-22,6.71E-21,1.00E-05,0,0,0.000106663,0.000103278,0.00170081,0.361437,0,0
142394,0.361437,-4.06E-22,6.29E-21,1.00E-05,0,0,0.000106663,0.000103278,0.00170081,0.361437,0,0
142404,0.361437,-3.80E-22,5.90E-21,1.00E-05,0,0,0.000106663,0.000103278,0.00170081,0.361437,0,0
142413,0.361437,-3.57E-22,5.53E-21,1.00E-05,0,0,0.000106663,0.000103278,0.00170081,0.361437,0,0
142424,0.361437,-3.34E-22,5.18E-21,1.00E-05,0,0,0.000106663,0.000103278,0.00170081,0.361437,0,0
142434,0.361437,-3.14E-22,4.86E-21,1.00E-05,0,0,0.000106663,0.000103278,0.00170081,0.361437,0,0
142444,0.361437,-2.94E-22,4.56E-21,1.00E-05,0,0,0.000106663,0.000103278,0.00170081,0.361437,0,0
142453,0.361437,-2.76E-22,4.27E-21,1.00E-05,0,0,0.000106663,0.000103278,0.00170081,0.361437,0,0
142464,0.361437,-2.58E-22,4.00E-21,1.00E-05,0,0,0.000106663,0.000103278,0.00170081,0.361437,0,0
142474,0.361437,-2.42E-22,3.75E-21,1.00E-05,0,0,0.000106663,0.000103278,0.00170081,0.361437,0,0
