QGPIORecord, QRC v6.1.0, 21-12-2023 @ 13:34:13, Windows 10 Version 2009, 10.0.22621, x86_64,,,,,,,
Time, x1, x2, x3, P11, P12, P13, P22, P23, P33, y1, y2, ValueIn11
197054,0.000607456,-0.00153548,0.0024113,8.53E-12,0,0,8.53E-12,8.30E-12,1.60E-05,0.000607456,0.00153548,0
197064,0.000607456,-0.00153548,0.0024113,8.53E-12,0,0,8.53E-12,8.30E-12,1.60E-05,0.000607456,0.00153548,0
197074,0.000607456,-0.00153548,0.0024113,8.53E-12,0,0,8.53E-12,8.30E-12,1.60E-05,0.000607456,0.00153548,0
197085,0.000607456,-0.00153548,0.0024113,8.53E-12,0,0,8.53E-12,8.30E-12,1.60E-05,0.000607456,0.00153548,0
197095,0.000607456,-0.00153548,0.0024113,8.53E-12,0,0,8.53E-12,8.30E-12,1.60E-05,0.000607456,0.00153548,0
197105,0.000607456,-0.00153548,0.0024113,8.53E-12,0,0,8.53E-12,8.30E-12,1.60E-05,0.000607456,0.00153548,0
197114,0.000607456,-0.00153548,0.0024113,8.53E-12,0,0,8.53E-12,8.30E-12,1.60E-05,0.000607456,0.00153548,0
197125,0.000607456,-0.00153548,0.0024113,8.53E-12,0,0,8.53E-12,8.30E-12,1.60E-05,0.000607456,0.00153548,0
197134,0.000607456,-0.00153548,0.0024113,8.53E-12,0,0,8.53E-12,8.30E-12,1.60E-05,0.000607456,0.00153548,0
197144,0.000607456,-0.00153548,0.0024113,8.53E-12,0,0,8.53E-12,8.30E-12,1.60E-05,0.000607456,0.00153548,0
197154,0.000607456,-0.00153548,0.0024113,8.53E-12,0,0,8.53E-12,8.30E-12,1.60E-05,0.000607456,0.00153548,0
197165,0.000607456,-0.00153548,0.0024113,8.53E-12,0,0,8.53E-12,8.30E-12,1.60E-05,0.000607456,0.00153548,0
197174,0.000607456,-0.00153548,0.0024113,8.53E-12,0,0,8.53E-12,8.30E-12,1.60E-05,0.000607456,0.00153548,0
197184,0.000607456,-0.00153548,0.0024113,8.53E-12,0,0,8.53E-12,8.30E-12,1.60E-05,0.000607456,0.00153548,0
197194,0.000607456,-0.00153548,0.0024113,8.53E-12,0,0,8.53E-12,8.30E-12,1.60E-05,0.000607456,0.00153548,0
197204,0.000607456,-0.00153548,0.0024113,8.53E-12,0,0,8.53E-12,8.30E-12,1.60E-05,0.000607456,0.00153548,0
197215,0.000607456,-0.00153548,0.0024113,8.53E-12,0,0,8.53E-12,8.30E-12,1.60E-05,0.000607456,0.00153548,0
197224,0.000607456,-0.00153548,0.0024113,8.53E-12,0,0,8.53E-12,8.30E-12,1.60E-05,0.000607456,0.00153548,0
197234,0.000607456,-0.00153548,0.0024113,8.53E-12,0,0,8.53E-12,8.30E-12,1.60E-05,0.000607456,0.00153548,0
197244,0.000607456,-0.00153548,0.0024113,8.53E-12,0,0,8.53E-12,8.30E-12,1.60E-05,0.000607456,0.00153548,0
197255,0.000607456,-0.00153548,0.0024113,8.53E-12,0,0,8.53E-12,8.30E-12,1.60E-05,0.000607456,0.00153548,0
197264,0.000607456,-0.00153548,0.0024113,8.53E-12,0,0,8.53E-12,8.30E-12,1.60E-05,0.000607456,0.00153548,0
197274,0.000607456,-0.00153548,0.0024113,8.53E-12,0,0,8.53E-12,8.30E-12,1.60E-05,0.000607456,0.00153548,0
197284,0.000607456,-0.00153548,0.0024113,8.53E-12,0,0,8.53E-12,8.30E-12,1.60E-05,0.000607456,0.00153548,0
197295,0.000607456,-0.00153548,0.0024113,8.53E-12,0,0,8.53E-12,8.30E-12,1.60E-05,0.000607456,0.00153548,0
197304,0.000607456,-0.00153548,0.0024113,8.53E-12,0,0,8.53E-12,8.30E-12,1.60E-05,0.000607456,0.00153548,0
197314,0.000607456,-0.00153548,0.0024113,8.53E-12,0,0,8.53E-12,8.30E-12,1.60E-05,0.000607456,0.00153548,0
197324,0.000607456,-0.00153548,0.0024113,8.53E-12,0,0,8.53E-12,8.30E-12,1.60E-05,0.000607456,0.00153548,0
197335,0.000607456,-0.00153548,0.0024113,8.53E-12,0,0,8.53E-12,8.30E-12,1.60E-05,0.000607456,0.00153548,0
197345,0.000607456,-0.00153548,0.0024113,8.53E-12,0,0,8.53E-12,8.30E-12,1.60E-05,0.000607456,0.00153548,0
197354,0.000607456,-0.00153548,0.0024113,8.53E-12,0,0,8.53E-12,8.30E-12,1.60E-05,0.000607456,0.00153548,0
197364,0.000607456,-0.00153548,0.0024113,8.53E-12,0,0,8.53E-12,8.30E-12,1.60E-05,0.000607456,0.00153548,0
197374,0.000607456,-0.00153548,0.0024113,8.53E-12,0,0,8.53E-12,8.30E-12,1.60E-05,0.000607456,0.00153548,0
197385,0.000607456,-0.00153548,0.0024113,8.53E-12,0,0,8.53E-12,8.30E-12,1.60E-05,0.000607456,0.00153548,0
197394,0.000607456,-0.00153548,0.0024113,8.53E-12,0,0,8.53E-12,8.30E-12,1.60E-05,0.000607456,0.00153548,0
197404,0.000607456,-0.00153548,0.0024113,8.53E-12,0,0,8.53E-12,8.30E-12,1.60E-05,0.000607456,0.00153548,0
197414,0.000607456,-0.00153548,0.0024113,8.53E-12,0,0,8.53E-12,8.30E-12,1.60E-05,0.000607456,0.00153548,0
197425,0.000607456,-0.00153548,0.0024113,8.53E-12,0,0,8.53E-12,8.30E-12,1.60E-05,0.000607456,0.00153548,0
197434,0.000607456,-0.00153548,0.0024113,8.53E-12,0,0,8.53E-12,8.30E-12,1.60E-05,0.000607456,0.00153548,0
197444,0.000607456,-0.00153548,0.0024113,8.53E-12,0,0,8.53E-12,8.30E-12,1.60E-05,0.000607456,0.00153548,0
197454,0.000607456,-0.00153548,0.0024113,8.53E-12,0,0,8.53E-12,8.30E-12,1.60E-05,0.000607456,0.00153548,0
197465,0.000607456,-0.00153548,0.0024113,8.53E-12,0,0,8.53E-12,8.30E-12,1.60E-05,0.000607456,0.00153548,0
197474,0.000607456,-0.00153548,0.0024113,8.53E-12,0,0,8.53E-12,8.30E-12,1.60E-05,0.000607456,0.00153548,0
197484,0.000607456,-0.00153548,0.0024113,8.53E-12,0,0,8.53E-12,8.30E-12,1.60E-05,0.000607456,0.00153548,0
197494,0.000607456,-0.00153548,0.0024113,8.53E-12,0,0,8.53E-12,8.30E-12,1.60E-05,0.000607456,0.00153548,0
197505,0.000607456,-0.00153548,0.0024113,8.53E-12,0,0,8.53E-12,8.30E-12,1.60E-05,0.000607456,0.00153548,0
197515,0.000607456,-0.00153548,0.0024113,8.53E-12,0,0,8.53E-12,8.30E-12,1.60E-05,0.000607456,0.00153548,0
197524,0.000607456,-0.00153548,0.0024113,8.53E-12,0,0,8.53E-12,8.30E-12,1.60E-05,0.000607456,0.00153548,0
197534,0.000607456,-0.00153548,0.0024113,8.53E-12,0,0,8.53E-12,8.30E-12,1.60E-05,0.000607456,0.00153548,0
197544,0.000607456,-0.00153548,0.0024113,8.53E-12,0,0,8.53E-12,8.30E-12,1.60E-05,0.000607456,0.00153548,0
197555,0.000607456,-0.00153548,0.0024113,8.53E-12,0,0,8.53E-12,8.30E-12,1.60E-05,0.000607456,0.00153548,0
197564,0.000607456,-0.00153548,0.0024113,8.53E-12,0,0,8.53E-12,8.30E-12,1.60E-05,0.000607456,0.00153548,0
197574,0.000607456,-0.00153548,0.0024113,8.53E-12,0,0,8.53E-12,8.30E-12,1.60E-05,0.000607456,0.00153548,0
197584,0.000607456,-0.00153548,0.0024113,8.53E-12,0,0,8.53E-12,8.30E-12,1.60E-05,0.000607456,0.00153548,0
197595,0.000607456,-0.00153548,0.0024113,8.53E-12,0,0,8.53E-12,8.30E-12,1.60E-05,0.000607456,0.00153548,0
197604,0.000607456,-0.00153548,0.0024113,8.53E-12,0,0,8.53E-12,8.30E-12,1.60E-05,0.000607456,0.00153548,0
197614,0.000607456,-0.00153548,0.0024113,8.53E-12,0,0,8.53E-12,8.30E-12,1.60E-05,0.000607456,0.00153548,0
197624,0.000607456,-0.00153548,0.0024113,8.53E-12,0,0,8.53E-12,8.30E-12,1.60E-05,0.000607456,0.00153548,0
197635,0.000607456,-0.00153548,0.0024113,8.53E-12,0,0,8.53E-12,8.30E-12,1.60E-05,0.000607456,0.00153548,0
197644,0.000607456,-0.00153548,0.0024113,8.53E-12,0,0,8.53E-12,8.30E-12,1.60E-05,0.000607456,0.00153548,0
197654,0.000607456,-0.00153548,0.0024113,8.53E-12,0,0,8.53E-12,8.30E-12,1.60E-05,0.000607456,0.00153548,0
197664,0.000607456,-0.00153548,0.0024113,8.53E-12,0,0,8.53E-12,8.30E-12,1.60E-05,0.000607456,0.00153548,0
197675,0.000607456,-0.00153548,0.0024113,8.53E-12,0,0,8.53E-12,8.30E-12,1.60E-05,0.000607456,0.00153548,0
197685,0.000607456,-0.00153548,0.0024113,8.53E-12,0,0,8.53E-12,8.30E-12,1.60E-05,0.000607456,0.00153548,0
197694,0.000607456,-0.00153548,0.0024113,8.53E-12,0,0,8.53E-12,8.30E-12,1.60E-05,0.000607456,0.00153548,0
197704,0.000607456,-0.00153548,0.0024113,8.53E-12,0,0,8.53E-12,8.30E-12,1.60E-05,0.000607456,0.00153548,0
197714,0.000607456,-0.00153548,0.0024113,8.53E-12,0,0,8.53E-12,8.30E-12,1.60E-05,0.000607456,0.00153548,0
197725,0.000607456,-0.00153548,0.0024113,8.53E-12,0,0,8.53E-12,8.30E-12,1.60E-05,0.000607456,0.00153548,0
197734,0.000607456,-0.00153548,0.0024113,8.53E-12,0,0,8.53E-12,8.30E-12,1.60E-05,0.000607456,0.00153548,0
197744,0.000607456,-0.00153548,0.0024113,8.53E-12,0,0,8.53E-12,8.30E-12,1.60E-05,0.000607456,0.00153548,0
197754,0.000607456,-0.00153548,0.0024113,8.53E-12,0,0,8.53E-12,8.30E-12,1.60E-05,0.000607456,0.00153548,0
197765,0.000607456,-0.00153548,0.0024113,8.53E-12,0,0,8.53E-12,8.30E-12,1.60E-05,0.000607456,0.00153548,0
197774,0.000607456,-0.00153548,0.0024113,8.53E-12,0,0,8.53E-12,8.30E-12,1.60E-05,0.000607456,0.00153548,0
