QGPIORecord, QRC v6.1.0, 22-12-2023 @ 14:32:28, Windows 10 Version 2009, 10.0.22621, x86_64
Time, ValueIn0, ValueIn1, ValueIn2, ValueIn3, ValueIn4, ValueIn5, ValueIn6, ValueIn7x, ValueIn8, ValueIn9, ValueIn10, ValueIn11
23794, 0.000177156, -0.00614192, -0.000163881, 0.00551955, -0.010063, -0.00111766, -0.00016567, -0.00614192, 0.280519, 0.273583, 0, 0
23803, 0.000177307, -0.00614192, -0.000163879, 0.00551951, -0.0100635, -0.00111766, -0.00016567, -0.00614192, 0.280885, 0.27394, 0, 0
23815, 0.000177445, -0.00614192, -0.000163878, 0.00551947, -0.010064, -0.00111766, -0.00016567, -0.00614192, 0.281251, 0.274297, 0, 0
23824, 0.000177572, -0.00614192, -0.000163877, 0.00551943, -0.0100644, -0.00111766, -0.00016567, -0.00614192, 0.281618, 0.274655, 0, 0
23834, 0.000177688, -0.00614192, -0.000163876, 0.0055194, -0.0100648, -0.00111766, -0.00016567, -0.00614192, 0.281984, 0.275012, 0, 0
23844, 0.000177796, -0.00614192, -0.000163874, 0.00551937, -0.0100652, -0.00111766, -0.00016567, -0.00614192, 0.28235, 0.27537, 0, 0
23854, 0.000177894, -0.00614192, -0.000163873, 0.00551934, -0.0100655, -0.00111766, -0.00016567, -0.00614192, 0.282717, 0.275727, 0, 0
23864, 0.000177984, -0.00614192, -0.000163873, 0.00551932, -0.0100658, -0.00111766, -0.00016567, -0.00614192, 0.283083, 0.276084, 0, 0
23874, 0.000178067, -0.00614192, -0.000163872, 0.00551929, -0.0100661, -0.00111766, -0.00016567, -0.00614192, 0.283449, 0.276442, 0, 0
23884, 0.000178144, -0.00614192, -0.000163871, 0.00551927, -0.0100663, -0.00111766, -0.00016567, -0.00614192, 0.283816, 0.276799, 0, 0
23894, 0.000178214, -0.00614192, -0.00016387, 0.00551925, -0.0100666, -0.00111766, -0.00016567, -0.00614192, 0.284182, 0.277157, 0, 0
23904, 0.000178279, -0.00614192, -0.00016387, 0.00551924, -0.0100668, -0.00111766, -0.00016567, -0.00614192, 0.284549, 0.277514, 0, 0
23914, 0.000178338, -0.00614192, -0.000163869, 0.00551922, -0.010067, -0.00111766, -0.00016567, -0.00614192, 0.284915, 0.277872, 0, 0
23924, 0.000178393, -0.00614192, -0.000163868, 0.0055192, -0.0100672, -0.00111766, -0.00016567, -0.00614192, 0.285282, 0.278229, 0, 0
23933, -4.70341e-06, -0.00614192, -0.000111017, 0.00553101, -0.0100673, -0.00106244, -0.000110447, -0.00614192, 0.0223826, 0.274147, 0, 0
23944, -2.9665e-06, -0.00614192, -0.000110482, 0.00553016, -0.0100789, -0.00106244, -0.000110447, -0.00614192, 0.258769, 0.27418, 0, 0
23954, 2.47732e-07, -0.00614192, -0.000110445, 0.00552926, -0.0100897, -0.00106244, -0.000110447, -0.00614192, 0.258839, 0.274252, 0, 0
23964, 3.21679e-06, -0.00614192, -0.000110414, 0.00552842, -0.0100996, -0.00106244, -0.000110447, -0.00614192, 0.258909, 0.274324, 0, 0
23974, 5.94486e-06, -0.00614192, -0.000110387, 0.00552766, -0.0101086, -0.00106244, -0.000110447, -0.00614192, 0.258979, 0.274397, 0, 0
23984, 8.45059e-06, -0.00614192, -0.000110362, 0.00552696, -0.010117, -0.00106244, -0.000110447, -0.00614192, 0.25905, 0.27447, 0, 0
23994, 1.0754e-05, -0.00614192, -0.000110338, 0.00552632, -0.0101247, -0.00106244, -0.000110447, -0.00614192, 0.259122, 0.274542, 0, 0
24004, 1.28695e-05, -0.00614192, -0.000110317, 0.00552572, -0.0101317, -0.00106244, -0.000110447, -0.00614192, 0.259193, 0.274615, 0, 0
24014, 1.48134e-05, -0.00614192, -0.000110297, 0.00552518, -0.0101382, -0.00106244, -0.000110447, -0.00614192, 0.259265, 0.274688, 0, 0
24024, 1.65994e-05, -0.00614192, -0.000110279, 0.00552468, -0.0101441, -0.00106244, -0.000110447, -0.00614192, 0.259337, 0.274761, 0, 0
24034, 1.82404e-05, -0.00614192, -0.000110263, 0.00552422, -0.0101496, -0.00106244, -0.000110447, -0.00614192, 0.25941, 0.274834, 0, 0
24044, 1.97482e-05, -0.00614192, -0.000110247, 0.0055238, -0.0101546, -0.00106244, -0.000110447, -0.00614192, 0.259483, 0.274907, 0, 0
24054, 2.11333e-05, -0.00614192, -0.000110233, 0.00552341, -0.0101592, -0.00106244, -0.000110447, -0.00614192, 0.259556, 0.27498, 0, 0
24064, 2.24062e-05, -0.00614192, -0.000110221, 0.00552306, -0.0101635, -0.00106244, -0.000110447, -0.00614192, 0.259629, 0.275053, 0, 0
24074, 2.35757e-05, -0.00614192, -0.000110209, 0.00552273, -0.0101674, -0.00106244, -0.000110447, -0.00614192, 0.259702, 0.275126, 0, 0
24084, 2.46498e-05, -0.00614192, -0.000110198, 0.00552243, -0.010171, -0.00106244, -0.000110447, -0.00614192, 0.259775, 0.275199, 0, 0
24094, 2.56372e-05, -0.00614192, -0.000110188, 0.00552215, -0.0101742, -0.00106244, -0.000110447, -0.00614192, 0.259849, 0.275272, 0, 0
24103, 2.65441e-05, -0.00614192, -0.000110179, 0.0055219, -0.0101773, -0.00106244, -0.000110447, -0.00614192, 0.259923, 0.275345, 0, 0
24114, 2.73774e-05, -0.00614192, -0.00011017, 0.00552167, -0.01018, -0.00106244, -0.000110447, -0.00614192, 0.259997, 0.275418, 0, 0
24124, 2.81429e-05, -0.00614192, -0.000110163, 0.00552145, -0.0101826, -0.00106244, -0.000110447, -0.00614192, 0.260071, 0.275492, 0, 0
24134, 2.88466e-05, -0.00614192, -0.000110155, 0.00552126, -0.0101849, -0.00106244, -0.000110447, -0.00614192, 0.260145, 0.275565, 0, 0
24144, 2.94924e-05, -0.00614192, -0.000110149, 0.00552108, -0.0101871, -0.00106244, -0.000110447, -0.00614192, 0.260219, 0.275638, 0, 0
24154, 3.00861e-05, -0.00614192, -0.000110143, 0.00552091, -0.0101891, -0.00106244, -0.000110447, -0.00614192, 0.260293, 0.275711, 0, 0
24164, 3.06312e-05, -0.00614192, -0.000110137, 0.00552076, -0.0101909, -0.00106244, -0.000110447, -0.00614192, 0.260368, 0.275785, 0, 0
24174, 3.11323e-05, -0.00614192, -0.000110132, 0.00552062, -0.0101925, -0.00106244, -0.000110447, -0.00614192, 0.260442, 0.275858, 0, 0
24184, 3.15926e-05, -0.00614192, -0.000110128, 0.00552049, -0.0101941, -0.00106244, -0.000110447, -0.00614192, 0.260517, 0.275931, 0, 0
24194, 3.20158e-05, -0.00614192, -0.000110123, 0.00552037, -0.0101955, -0.00106244, -0.000110447, -0.00614192, 0.260591, 0.276005, 0, 0
24204, 3.24042e-05, -0.00614192, -0.000110119, 0.00552026, -0.0101968, -0.00106244, -0.000110447, -0.00614192, 0.260666, 0.276078, 0, 0
24214, 3.27614e-05, -0.00614192, -0.000110116, 0.00552016, -0.010198, -0.00106244, -0.000110447, -0.00614192, 0.260741, 0.276151, 0, 0
24224, 3.30892e-05, -0.00614192, -0.000110113, 0.00552007, -0.0101991, -0.00106244, -0.000110447, -0.00614192, 0.260815, 0.276225, 0, 0
24233, 3.33909e-05, -0.00614192, -0.000110109, 0.00551999, -0.0102001, -0.00106244, -0.000110447, -0.00614192, 0.26089, 0.276298, 0, 0
24244, 3.36675e-05, -0.00614192, -0.000110107, 0.00551991, -0.010201, -0.00106244, -0.000110447, -0.00614192, 0.260965, 0.276371, 0, 0
24254, 3.3922e-05, -0.00614192, -0.000110104, 0.00551984, -0.0102018, -0.00106244, -0.000110447, -0.00614192, 0.26104, 0.276445, 0, 0
24264, 3.4156e-05, -0.00614192, -0.000110102, 0.00551977, -0.0102026, -0.00106244, -0.000110447, -0.00614192, 0.261115, 0.276518, 0, 0
24273, 3.43705e-05, -0.00614192, -0.0001101, 0.00551971, -0.0102033, -0.00106244, -0.000110447, -0.00614192, 0.26119, 0.276592, 0, 0
